country,tls13,ipv6,http3,iqi_p50,region
MD,58.941818358490565,10.967527603773584,33.88078930188679,21.890142773584905,Other
ME,64.92366247169811,0.7617551886792453,30.52934037735849,17.231538547169812,Other
MF,65.13937541509434,42.76460586792453,30.667001698113204,11.306043461538462,Other
MG,60.70197856603773,6.748055018867924,28.90416224528302,6.456351169811321,Other
MH,60.207970622641504,19.629105226415092,33.389512396226415,4.668081754716981,Other
MK,56.379193830188676,0.7887924150943396,37.55787686792453,17.786988641509435,Other
ML,68.63529696226415,9.169845169811321,18.106824169811322,4.46389520754717,Other
MM,72.36231047169811,9.956776773584906,15.11704716981132,9.470098886792453,APAC-Em
MN,56.39362179245283,36.39778594339622,38.5039831509434,9.327585188679246,Other
MO,59.21068152830189,38.33577252830189,33.58080503773585,56.4685951509434,Other
MP,63.09224633962264,43.90236573584906,31.749259943396225,9.0523262,Other
MQ,62.934295094339625,7.837385433962265,32.84963988679245,10.012320905660378,Other
MR,66.95961333962265,1.4312757924528303,24.903160867924527,6.565362924528301,Other
MS,77.79412643396226,34.496389056603775,15.976178,9.63986742857143,Other
MT,66.04543716981132,1.1727162641509434,25.37605288679245,15.171376811320755,EU-West
MU,57.07551405660378,1.6342337169811318,35.939991886792455,9.292395490566038,Other
MV,64.52074494339622,15.05404916981132,30.45233079245283,8.644601094339622,Other
MW,61.86364930188679,1.9580435849056603,27.711339264150944,4.595703245283019,Other
MX,73.54633945283018,44.21349460377359,22.611006509433963,15.967526283018868,NA
MY,65.1740331509434,56.43054509433962,27.696158226415093,20.56182494339623,APAC-Em
MZ,64.87454401886792,3.5232511698113207,25.486766113207548,5.419501698113208,Africa
NC,59.653092849056605,9.908026094339624,34.46602916981132,16.738212094339623,Other
NE,61.936935207547165,13.070186396226415,14.995909754716982,3.5933796792452832,Other
NF,62.25430183018868,43.44847626415094,23.87846196226415,2.8089908,Other
NG,76.1102399245283,4.648260981132076,16.397907981132075,4.201300735849056,Africa
NI,69.92477879245283,35.84645566037736,25.898884566037733,8.040667905660378,Other
NL,76.75278520754718,14.638513773584906,11.144413226415095,36.56960498113207,EU-West
NO,65.34779728301886,34.40184930188679,28.762210490566037,33.71260713207547,EU-West
NP,62.949696396226415,51.23108347169811,30.65441962264151,13.437812867924528,Other
NR,55.37988852830189,52.05627109433962,30.287772188679245,30.818328708333336,Other
NU,65.19018669811321,21.005146037735848,28.98930941509434,6.226502666666666,Other
NZ,63.7590627735849,21.75932958490566,30.842321471698114,25.583965735849056,APAC-Dev
OM,67.90831018867925,20.213979396226414,25.611763075471696,12.970174773584906,Other
