country_iso2,WINDOWS,ANDROID,MACOSX,IOS,LINUX,CHROMEOS,SMART_TV,tls13,IPv6,HTTP/3,bw_p50
GF,28.923525830188677,40.3491680754717,6.425128811320755,22.774472849056604,1.2401424528301885,0.24627883018867924,0.04128309433962264,65.28336220754717,22.568057509433963,29.41943558490566,7.517822
GG,33.710949735849056,15.7687350754717,18.148714188679246,30.49896588679245,1.0325735660377358,0.790609358490566,0.04945220754716981,65.98548552830188,4.775552396226415,25.253128811320757,27.522425528301888
GH,25.687743981132076,41.42140915094339,4.224883528301887,27.225045075471698,0.8149420188679245,0.5559904905660378,0.06998596226415094,69.51778754716982,2.0240597924528303,24.659055792452833,5.317602056603773
GI,45.81155277358491,14.87923196226415,14.649134867924527,21.184145358490568,2.946515396226415,0.2511671886792453,0.2782524339622642,94.08818511320754,0.17391839622641508,2.8368635471698114,30.373793679245285
GL,24.439301358490564,32.03024105660377,9.667335886792452,32.63933494339623,0.9246146792452831,0.16082275471698113,0.1383493396226415,57.302840641509434,2.3582702264150943,26.783156113207546,6.62105620754717
GM,12.707542056603774,64.11182081132075,1.9238002641509435,19.711697867924528,1.053112679245283,0.4737629433962264,0.018263301886792455,77.6716260754717,0.44028333962264155,13.850508132075472,7.484394452830189
GN,7.401991320754717,82.92286449056603,0.9766338867924528,8.252756849056604,0.37999830188679246,0.053867603773584904,0.011887660377358491,72.08238467924528,0.5788274150943395,15.679026320754716,3.7628028679245284
GP,27.65976690566038,37.81349558490566,10.18746841509434,22.783718264150945,1.2341888867924529,0.22002811320754717,0.10133401886792452,65.90102450943397,11.620461150943397,30.201307566037734,10.081560679245284
GQ,34.312532905660376,50.119267716981135,5.281613943396227,7.026913188679245,3.1403717547169814,0.08786515094339623,0.03143518867924529,70.33631435849057,0.32214773584905665,13.002180849056604,3.6139350188679247
GR,34.640309716981136,43.149146415094336,4.63750037735849,15.858204188679245,1.4689231698113208,0.15374301886792452,0.09217296226415095,58.21144439622641,47.27931415094339,37.026360641509434,17.140152811320753
GS,67.04211415094339,9.948476509433963,7.314861471698113,0.15723269811320753,0.44297549056603774,0.0,0.0,73.26444673584905,81.55248837735849,0.6316589433962264,
GT,38.47194618867925,43.92978626415094,5.714457452830189,9.886792509433961,1.6208451698113207,0.31041171698113207,0.06576062264150943,72.9954419245283,46.82447839622641,22.40587405660377,9.66938579245283
GU,32.34772128301887,22.63247926415094,11.48972516981132,31.171076566037737,0.6912593584905661,1.560993150943396,0.10674537735849057,59.72210998113207,5.490663528301887,35.4375841509434,9.697261528301889
GW,11.202695358490566,81.93619132075472,0.8198698301886793,5.705298264150944,0.28879584905660377,0.029151037735849056,0.01799820754716981,72.75533850943395,1.742326924528302,12.61561037735849,4.853688283018868
GY,29.205015811320752,48.45446975471698,4.829974113207547,15.64353179245283,0.9468044716981131,0.7507953396226414,0.16940864150943394,69.25003254716981,24.855176679245282,25.210876226415092,6.807860584905661
HK,53.30814041509434,17.915251849056602,11.652618566037736,14.609715056603774,2.4296250377358493,0.06623509433962264,0.018414075471698113,80.38838335849057,3.68019741509434,9.670954113207546,54.029077716981135
HM,,,,,,,,,,,
