country_iso2,mk_z_TLS 1.3,mk_p_TLS 1.3,trend_TLS 1.3,mk_z_IPv6,mk_p_IPv6,trend_IPv6,mk_z_HTTP/3,mk_p_HTTP/3,trend_HTTP/3,mk_z_bw_p50,mk_p_bw_p50,trend_bw_p50
BZ,2.155467487445894,0.031125270190097032,↑,1.8179565641447577,0.06907077184583033,=,3.7049494535102023,0.00021143289128899845,↑,-3.889046320765368,0.00010063891040990036,↓
CA,5.806722021340007,6.370777683173401e-09,↑,-5.162382985946928,2.4382579089099465e-07,↓,-4.241898649671102,2.216367816210152e-05,↓,-7.893153183565214,2.886579864025407e-15,↓
CC,-3.796997887137785,0.00014645903722065867,↓,2.5159905191539265,0.0118698375784978,↑,0.6289976297884816,0.529350607939715,=,,,=
CD,1.5571526688666069,0.11943424276230097,=,5.699332182107827,1.2027765894373488e-08,↑,4.62543378978603,3.7381520849866234e-06,↑,-5.530576720457259,3.191796604795627e-08,↓
CF,4.518043950553849,6.2413530961258346e-06,↑,5.822063426944604,5.81254799847386e-09,↑,-0.023012108406895666,0.9816406143955174,=,-3.260048690976886,0.0011139308886571886,↓
CG,4.441336922530864,8.940168690241279e-06,↑,-6.297647000687115,3.0219782232165926e-10,↓,-0.1917675700574639,0.8479242748024143,=,-7.586325071473272,3.2862601528904634e-14,↓
CH,3.904387726369965,9.446423285930372e-05,↑,-0.4525714653356148,0.6508573498130972,=,-1.8026151585401606,0.0714486747101466,=,-4.211215838461907,2.539999157669115e-05,↓
CI,1.173617528751679,0.2405482569382471,=,7.524959449054883,5.284661597215745e-14,↑,2.7691237116297787,0.005620728856429391,↑,-3.367438530209066,0.0007586993804027387,↓
CK,-1.6492011024941895,0.09910644217788045,=,0.3605230317080321,0.7184560361979844,=,2.8918549564665557,0.003829747065054123,↑,-4.434727267524825,9.21889219251959e-06,↓
CL,1.5264698576574127,0.1268928916371319,=,-4.533385356158447,5.8045776940574e-06,↓,3.244707285372289,0.0011757141195936072,↑,-3.7509736703239938,0.00017614919860342582,↓
CM,-2.9685619844895412,0.0029919675137557444,↓,7.325521176195121,2.3803181647963356e-13,↑,4.748165034622806,2.05270509301414e-06,↑,-5.668649370898633,1.4392756320091848e-08,↓
CN,3.0606104181171236,0.002208862972473913,↑,-1.2349831511700675,0.21683677483819386,=,-1.4957870464482184,0.1347091580059112,=,-2.6463924667930017,0.008135536666896481,↓
CO,-0.49859568214940614,0.6180642476094929,=,-3.1219760405355124,0.001796415578576127,↓,1.986712025795326,0.04695431839037667,↑,-1.4651042352390242,0.1428924813533381,=
CR,0.4372300597310177,0.6619445117795892,=,3.889046320765368,0.00010063891040990036,↑,1.6185182912849954,0.10555094813817001,=,-2.4929784107470305,0.01266765483420973,↓
CU,6.512426679151474,7.394640455515855e-11,↑,-2.0634190538183117,0.039072831190206214,↓,-5.116358769133137,3.114903206480335e-07,↓,-1.8332979697493548,0.06675827115815913,=
CV,-3.0145862013033327,0.0025733007445831735,↓,8.169298484447962,2.220446049250313e-16,↑,4.011777565602145,6.026326796315651e-05,↑,-4.99362752429636,5.925562789332872e-07,↓
CW,1.8639807809585491,0.06232440333404421,=,4.395312705717073,1.1061340232876304e-05,↑,0.22245038126665811,0.8239632955557097,=,-5.530576720457259,3.191796604795627e-08,↓
