date,country_iso2,chrome,safari,edge,firefox,samsung,opera,ucbrowser,yandex,brave,coccoc
2026-04-13 00:00:00+00:00,AG,63.736075,19.834333,8.986004,2.564981,3.330477,1.525278,0.022851,0.0,0.0,0.0
2026-04-20 00:00:00+00:00,AG,62.836038,20.66481,9.094212,2.627755,3.463308,1.307823,0.006055,0.0,0.0,0.0
2026-04-27 00:00:00+00:00,AG,66.565534,16.753641,9.241505,3.058252,3.015777,1.353155,0.012136,0.0,0.0,0.0
2026-05-04 00:00:00+00:00,AG,66.463642,16.935985,9.602237,2.417651,3.157241,1.398384,0.02486,0.0,0.0,0.0
2026-05-11 00:00:00+00:00,AG,66.749058,17.261064,8.898305,2.701271,2.948446,1.400659,0.035311,0.0,0.005885,0.0
2026-05-18 00:00:00+00:00,AG,65.182802,18.011114,9.494004,2.638198,3.404504,1.22258,0.040948,0.00585,0.0,0.0
2026-05-25 00:00:00+00:00,AG,63.360361,19.990246,9.27879,2.493446,3.389624,1.444858,0.042675,0.0,0.0,0.0
2026-06-01 00:00:00+00:00,AG,66.287282,16.471138,9.093562,2.935855,3.443647,1.715987,0.046694,0.0,0.005837,0.0
2026-06-08 00:00:00+00:00,AG,67.017156,16.242391,9.324848,2.960708,3.099059,1.217488,0.138351,0.0,0.0,0.0
2025-06-09 00:00:00+00:00,AF,80.815129,10.366897,3.068957,1.840041,2.333385,1.077802,0.260006,0.015556,0.222227,0.0
2025-06-16 00:00:00+00:00,AF,78.391053,10.211026,4.015106,2.716162,2.06254,1.568693,0.275974,0.018675,0.740771,0.0
2025-06-23 00:00:00+00:00,AF,80.236509,9.822844,4.331476,1.991301,2.131757,0.996783,0.24693,0.015858,0.226542,0.0
2025-06-30 00:00:00+00:00,AF,81.181466,9.712566,4.136531,1.616817,1.985442,0.965891,0.261304,0.020998,0.118987,0.0
2025-07-07 00:00:00+00:00,AF,81.421523,9.490462,4.147245,1.652987,2.039517,0.904936,0.200086,0.036379,0.104591,0.002274
2025-07-14 00:00:00+00:00,AF,80.350156,9.383911,4.388001,2.283529,1.94531,1.242346,0.260848,0.024316,0.121582,0.0
2025-07-21 00:00:00+00:00,AF,79.844475,10.096576,4.580459,1.91396,2.232535,1.06359,0.215728,0.010034,0.042644,0.0
2025-07-28 00:00:00+00:00,AF,80.503797,9.956721,4.682924,1.588618,1.995491,0.948506,0.272112,0.020732,0.031099,0.0
2025-08-04 00:00:00+00:00,AF,79.490707,9.927011,4.652193,2.34825,2.068419,1.116993,0.261176,0.016323,0.118928,0.0
2025-08-11 00:00:00+00:00,AF,79.379931,10.077382,4.845236,2.058467,2.409974,0.925551,0.174489,0.005058,0.123913,0.0
2025-08-18 00:00:00+00:00,AF,79.722942,9.764528,4.952474,1.898358,2.262908,1.115252,0.194426,0.008101,0.081011,0.0
2025-08-25 00:00:00+00:00,AF,80.68308,10.040356,4.634219,1.616966,2.053032,0.847756,0.108339,0.013542,0.002708,0.0
2025-09-01 00:00:00+00:00,AF,79.143491,10.170699,5.05795,2.096063,1.983725,1.416555,0.093158,0.00822,0.030139,0.0
2025-09-08 00:00:00+00:00,AF,79.7327,9.805274,4.809363,2.115915,1.9447,1.443831,0.114995,0.0,0.033221,0.0
2025-09-15 00:00:00+00:00,AF,80.246551,10.016632,4.087663,1.97828,2.166129,1.221016,0.238724,0.013697,0.031308,0.0
2025-09-22 00:00:00+00:00,AF,81.05664,9.129352,4.217772,1.729945,2.392634,1.222861,0.164757,0.007323,0.078717,0.0
2025-09-29 00:00:00+00:00,AF,81.241598,8.889476,4.136259,1.646822,2.400615,1.457173,0.160841,0.014404,0.052814,0.0
2025-10-06 00:00:00+00:00,AF,81.186435,8.602792,4.508312,1.930631,2.468963,1.076664,0.150803,0.019289,0.056113,0.0
2025-10-13 00:00:00+00:00,AF,81.094215,9.142847,4.297086,1.896849,2.501263,0.834335,0.170699,0.024386,0.036578,0.001742
2025-10-20 00:00:00+00:00,AF,80.794609,9.073954,4.671582,1.865114,2.370102,1.017015,0.149561,0.033431,0.024634,0.0
2025-10-27 00:00:00+00:00,AF,80.233071,9.428009,4.598657,1.879495,2.342584,1.273918,0.128918,0.030533,0.084815,0.0
2025-11-03 00:00:00+00:00,AF,80.900704,9.19119,4.523188,1.850395,2.300926,1.011907,0.153753,0.028605,0.037544,0.001788
2025-11-10 00:00:00+00:00,AF,79.466291,10.065708,4.882832,1.991351,2.474102,0.935331,0.122364,0.041906,0.020115,0.0
2025-11-17 00:00:00+00:00,AF,81.753028,7.123295,3.451283,1.272601,5.531863,0.707152,0.126715,0.023163,0.009538,0.001363
2025-11-24 00:00:00+00:00,AF,81.282457,8.933953,4.566583,1.612436,2.531883,0.88369,0.151538,0.037459,0.0,0.0
2025-12-01 00:00:00+00:00,AF,80.74821,9.783304,4.439402,1.673165,2.563283,0.707939,0.052736,0.031961,0.0,0.0
2025-12-08 00:00:00+00:00,AF,81.002953,9.565558,4.445348,1.631417,2.535249,0.736623,0.060255,0.022596,0.0,0.0
2025-12-15 00:00:00+00:00,AF,80.930991,9.5022,4.390364,1.569086,2.458235,1.062979,0.058456,0.02769,0.0,0.0
2025-12-22 00:00:00+00:00,AF,81.354754,9.415036,4.227288,1.428052,2.680758,0.818287,0.036333,0.039493,0.0,0.0
2025-12-29 00:00:00+00:00,AF,81.379845,9.624398,4.137636,1.350709,2.576324,0.85983,0.038004,0.028503,0.003167,0.001583
2026-01-05 00:00:00+00:00,AF,81.176685,9.452736,4.237224,1.708582,2.391711,0.775937,0.069986,0.024343,0.162795,0.0
2026-01-12 00:00:00+00:00,AF,80.906158,9.248649,4.635371,1.539232,2.586499,0.790974,0.256293,0.032405,0.004419,0.0
2026-01-19 00:00:00+00:00,AF,80.448561,9.679239,4.433658,1.631266,2.710365,0.789657,0.277567,0.023749,0.005937,0.0
2026-01-26 00:00:00+00:00,AF,79.842303,10.093424,4.481031,1.829615,2.598665,0.767661,0.34982,0.034704,0.001388,0.001388
2026-02-02 00:00:00+00:00,AF,80.117061,10.279033,4.591157,1.36764,2.425243,0.827248,0.356398,0.033322,0.002898,0.0
2026-02-09 00:00:00+00:00,AF,79.374257,10.992005,4.370799,1.679161,2.536723,0.724778,0.302913,0.019364,0.0,0.0
2026-02-16 00:00:00+00:00,AF,78.982398,10.855675,5.150651,1.758644,2.23315,0.79554,0.198885,0.025056,0.0,0.0
2026-02-23 00:00:00+00:00,AF,78.558275,10.023177,5.016351,2.033527,3.211417,0.890561,0.222243,0.044449,0.0,0.0
2026-03-02 00:00:00+00:00,AF,79.958873,9.236785,5.483077,1.634978,2.533374,0.868056,0.254517,0.03034,0.0,0.0
2026-03-09 00:00:00+00:00,AF,80.614502,8.57153,5.360967,1.706164,2.430045,1.088476,0.203536,0.024778,0.0,0.0
2026-03-16 00:00:00+00:00,AF,82.139352,9.042734,3.143902,1.659381,2.819163,0.822553,0.347935,0.023196,0.001784,0.0
2026-03-23 00:00:00+00:00,AF,81.532537,8.260762,4.504544,1.912389,2.520677,0.940878,0.296121,0.030633,0.001459,0.0
2026-03-30 00:00:00+00:00,AF,81.91505,7.527242,4.957847,1.901915,2.342881,1.082979,0.254661,0.016084,0.00134,0.0
2026-04-06 00:00:00+00:00,AF,83.115481,7.211896,4.594076,1.79398,2.031419,1.007315,0.213455,0.031179,0.001199,0.0
2026-04-13 00:00:00+00:00,AF,81.638127,8.090052,5.07879,1.676373,2.187977,1.070395,0.237176,0.017385,0.003725,0.0
2026-04-20 00:00:00+00:00,AF,82.126221,7.645102,4.572485,2.699762,1.942435,0.789015,0.210193,0.013731,0.001056,0.0
2026-04-27 00:00:00+00:00,AF,83.238948,7.328961,4.707513,1.879166,1.907961,0.755079,0.165307,0.015997,0.001066,0.0
2026-05-04 00:00:00+00:00,AF,82.957421,6.66055,4.537159,3.104425,1.797723,0.709813,0.217784,0.012099,0.003025,0.0
2026-05-11 00:00:00+00:00,AF,81.837068,7.802915,4.819447,2.541875,2.066565,0.713509,0.211007,0.006526,0.001088,0.0
2026-05-18 00:00:00+00:00,AF,81.770093,7.757243,4.523865,2.992032,1.988076,0.69208,0.253469,0.013224,0.009918,0.0
2026-05-25 00:00:00+00:00,AF,82.138267,7.75306,2.511572,4.695006,2.093601,0.566445,0.220839,0.017467,0.003743,0.0
2026-06-01 00:00:00+00:00,AF,79.854999,7.778338,4.66902,4.153322,2.258227,1.013744,0.243349,0.011348,0.017652,0.0
2026-06-08 00:00:00+00:00,AF,73.57544,7.159605,6.281695,9.591581,2.055728,1.052402,0.245379,0.010906,0.027264,0.0
2025-06-09 00:00:00+00:00,AP,,,,,,,,,,
2025-06-16 00:00:00+00:00,AP,,,,,,,,,,
2025-06-23 00:00:00+00:00,AP,,,,,,,,,,
2025-06-30 00:00:00+00:00,AP,,,,,,,,,,
2025-07-07 00:00:00+00:00,AP,,,,,,,,,,
2025-07-14 00:00:00+00:00,AP,,,,,,,,,,
2025-07-21 00:00:00+00:00,AP,,,,,,,,,,
2025-07-28 00:00:00+00:00,AP,,,,,,,,,,
2025-08-04 00:00:00+00:00,AP,,,,,,,,,,
2025-08-11 00:00:00+00:00,AP,,,,,,,,,,
2025-08-18 00:00:00+00:00,AP,,,,,,,,,,
2025-08-25 00:00:00+00:00,AP,,,,,,,,,,
2025-09-01 00:00:00+00:00,AP,,,,,,,,,,
2025-09-08 00:00:00+00:00,AP,,,,,,,,,,
2025-09-15 00:00:00+00:00,AP,,,,,,,,,,
2025-09-22 00:00:00+00:00,AP,,,,,,,,,,
2025-09-29 00:00:00+00:00,AP,,,,,,,,,,
2025-10-06 00:00:00+00:00,AP,,,,,,,,,,
2025-10-13 00:00:00+00:00,AP,,,,,,,,,,
2025-10-20 00:00:00+00:00,AP,,,,,,,,,,
2025-10-27 00:00:00+00:00,AP,,,,,,,,,,
2025-11-03 00:00:00+00:00,AP,,,,,,,,,,
2025-11-10 00:00:00+00:00,AP,,,,,,,,,,
2025-11-17 00:00:00+00:00,AP,,,,,,,,,,
