country,tls13,ipv6,http3,gdp,income
KW,65.35399852830189,23.92874745283019,28.296085773584906,34075.849012909,
KY,63.71239784905661,3.1072643773584905,29.57700833962264,99143.5180243123,
KZ,59.39216775471698,20.89431803773585,33.36038371698113,12879.4275257974,
LA,54.534364396226415,0.6615340377358491,40.35192273584906,2066.94979776957,
LB,63.96082928301887,0.9630360943396227,30.80919116981132,3477.72489842684,
LC,64.53775266037736,19.33966637735849,30.01068056603774,13554.7684784933,
LI,67.8544859245283,19.92106490566038,25.022637754716982,206780.590353385,
LK,55.88709760377358,47.20012516981132,39.16707428301887,3798.89016573011,
LR,71.56411750943396,3.7020419433962264,19.06595016981132,799.194470229642,
LS,55.481151830188686,0.6218856226415095,36.81134339622641,916.282976983803,
LT,68.66586652830189,17.202435056603775,23.765195603773584,27786.0057829276,
LU,72.38169228301886,20.66102413207547,19.490848094339622,133230.619178899,
LV,67.61246790566038,18.213154226415096,26.247772735849058,22710.2637544197,
LY,69.55677241509434,1.118406924528302,22.3484460754717,6026.51518708812,
MA,76.89635505660377,1.041767358490566,17.169384056603775,3813.72607421875,LMC
MC,68.88101133962265,3.6212765471698116,26.977580094339622,256799.788612806,
MD,58.941818358490565,10.967527603773584,33.88078930188679,6799.58594644576,
ME,64.92366247169811,0.7617551886792453,30.52934037735849,12259.8775034436,
MF,65.13937541509434,42.76460586792453,30.667001698113204,,
MG,60.70197856603773,6.748055018867924,28.90416224528302,508.718427705591,
MH,60.207970622641504,19.629105226415092,33.389512396226415,6793.24495895856,
MK,56.379193830188676,0.7887924150943396,37.55787686792453,8674.35846327485,
ML,68.63529696226415,9.169845169811321,18.106824169811322,1043.9533853528,
MM,72.36231047169811,9.956776773584906,15.11704716981132,1233.19666209269,
MN,56.39362179245283,36.39778594339622,38.5039831509434,5838.63108083902,
MO,59.21068152830189,38.33577252830189,33.58080503773585,67216.3631112124,
MP,63.09224633962264,43.90236573584906,31.749259943396225,,
MQ,62.934295094339625,7.837385433962265,32.84963988679245,,
MR,66.95961333962265,1.4312757924528303,24.903160867924527,2135.78187606359,
MS,77.79412643396226,34.496389056603775,15.976178,,
MT,66.04543716981132,1.1727162641509434,25.37605288679245,40905.8059585057,
MU,57.07551405660378,1.6342337169811318,35.939991886792455,11269.9684462139,
MV,64.52074494339622,15.05404916981132,30.45233079245283,12587.6126038651,
MW,61.86364930188679,1.9580435849056603,27.711339264150944,633.214767978695,
MX,73.54633945283018,44.21349460377359,22.611006509433963,13860.9597809326,UMC
MY,65.1740331509434,56.43054509433962,27.696158226415093,11386.0395636528,UMC
MZ,64.87454401886792,3.5232511698113207,25.486766113207548,622.000297682823,
NC,59.653092849056605,9.908026094339624,34.46602916981132,33701.8923322781,
NE,61.936935207547165,13.070186396226415,14.995909754716982,638.336080897887,
NF,62.25430183018868,43.44847626415094,23.87846196226415,,
NG,76.1102399245283,4.648260981132076,16.397907981132075,2138.76383719983,LMC
NI,69.92477879245283,35.84645566037736,25.898884566037733,2609.44492072931,
NL,76.75278520754718,14.638513773584906,11.144413226415095,63515.6030780019,HIC
NO,65.34779728301886,34.40184930188679,28.762210490566037,87497.2179649556,HIC
NP,62.949696396226415,51.23108347169811,30.65441962264151,1382.33055769304,
NR,55.37988852830189,52.05627109433962,30.287772188679245,12752.4723855838,
NU,65.19018669811321,21.005146037735848,28.98930941509434,,
NZ,63.7590627735849,21.75932958490566,30.842321471698114,49075.9562832927,HIC
OM,67.90831018867925,20.213979396226414,25.611763075471696,21027.7384778886,
PA,71.0822493773585,4.985494603773585,23.22058550943396,18797.1933994045,
PE,65.88868254716981,31.1415329245283,29.061166358490567,7887.54185920108,
PF,62.462299188679246,4.599997037735849,32.88367349056604,21832.2831795569,
PG,55.24940143396226,18.877259452830188,36.56849967924528,2966.06830432055,
PH,68.9784042264151,17.137938207547172,27.32643583018868,3804.08274131097,LMC
PK,62.592202754716986,22.527800018867925,27.554920094339625,1360.32417758419,LMC
PL,67.33568158490566,15.58916137735849,27.849006320754718,22145.2660647429,HIC
PM,59.47916573584905,3.0542833396226414,35.81680526415094,,
PN,56.27809301886792,80.40501962264152,29.746978018867924,,
PR,67.45864001886792,45.71765798113207,27.074549358490565,36980.7884784287,
PS,59.68950850943396,1.002861,33.3076827735849,3455.02852911712,
PT,67.4243166981132,33.0855861509434,27.091131490566035,27634.6183139773,HIC
PW,62.61388556603773,2.034731037735849,32.931801433962264,15610.8231931032,
PY,72.8253857735849,37.1642891509434,20.817386886792455,6299.99026533713,
QA,67.09640062264151,34.441173735849056,27.09933035849057,81816.9797967481,HIC
RE,57.13514224528302,16.408216320754715,37.63115852830189,,
RO,62.84938403773585,24.632044603773586,28.460842943396226,18244.4186876321,UMC
RS,61.474094660377354,5.904211283018868,31.60766237735849,12281.707946167,
RU,63.49497260377359,7.594423584905661,17.563042811320756,14159.3876953125,UMC
RW,67.81194318867924,17.334467415094338,25.224042396226416,1027.03446826565,
SA,69.84341464150944,56.84627737735849,23.971840433962264,36156.848337701,HIC
SB,59.366681566037734,15.051007056603774,26.473477679245285,1882.64394148042,
SC,65.91770052830189,11.494187849056605,26.54197916981132,18262.7115849287,
SD,64.19200471698113,12.182582,27.120150584905662,797.283447265625,
SE,70.81803481132076,24.399234150943396,22.35385266037736,54950.2834725622,HIC
SG,78.38988513207548,6.644292358490566,6.911944301886793,85412.230345235,HIC
SH,76.12317394339622,6.2871740377358485,16.73263179245283,,
SI,66.09506158490565,11.052737849056605,29.402832226415097,32660.4753581346,
