country_iso2,bot_ratio,tls13,IPv6,HTTP/3,bw_p50
CM,0.15720560716823925,59.22150379245283,3.1149524528301886,31.636982490566037,3.275741301886793
CN,0.3891181573545994,69.45603556603773,30.949989603773584,17.86248437735849,4.67602379245283
CO,0.13626736509297693,65.75993541509435,16.838217660377357,28.727162018867926,15.810939547169811
CR,0.13081620999869184,66.19791532075472,14.337689226415094,27.86826243396226,10.794748264150943
CU,0.1912090216962011,63.94734113207547,0.12631343396226416,23.643499,3.9889332641509436
CV,0.1374480028288142,65.06532705660376,3.363953716981132,28.83571703773585,7.283493283018868
CW,0.16407829641345353,63.18225479245283,7.092820207547169,27.871918075471697,10.682037735849057
CX,0.651484926724129,82.03642262264151,98.11320754716981,0.0,
CY,0.1530265952814886,63.66673716981132,16.98075975471698,28.82895883018868,16.035380056603774
CZ,0.16958973490396448,65.85414618867925,26.8319489245283,28.71905175471698,23.971021452830186
DE,0.4555177694294071,74.29288905660377,34.73405539622642,17.027537622641507,26.53304516981132
DJ,0.26435009603509235,63.21801796226415,2.6671270943396226,27.59474158490566,4.9247978490566044
DK,0.1511974532060352,63.56024550943397,20.888093150943398,32.103877905660376,33.33625743396227
DM,0.10340474603670181,65.05146737735849,30.530707735849056,30.107542924528303,8.385688037735848
DO,0.14306743056460702,66.76907705660376,30.07802124528302,27.38171041509434,10.409626981132076
DZ,0.15957137962104578,60.12780547169811,0.4885428301886792,29.525996962264152,9.546320773584906
EC,0.19339205735655668,72.35703032075472,23.09512730188679,21.223039264150945,16.221981716981134
EE,0.21367392245069347,63.76707032075472,32.232207018867925,30.005025094339622,29.464162547169813
EG,0.13841570169672904,61.06509471698113,4.418201660377359,30.686375320754717,8.103538735849057
EH,0.37993581488933265,69.11207209433962,69.36190309433962,2.5015194339622644,7.41102025
ER,0.1728333088661962,74.06178167924529,57.276043811320754,8.550965452830189,8.510521
ES,0.1376096616967371,71.51057967924528,10.898057679245282,23.782139320754716,29.16878813207547
ET,0.21847699886573976,66.77500262264151,0.44225924528301885,23.087521000000002,4.27855141509434
FI,0.57428035678671,78.31993350943397,32.16694303773585,14.104020320754715,22.901895000000003
FJ,0.09903092698014176,65.57055290566038,23.13674996226415,30.138808641509435,6.848848433962265
FK,0.2526728396201148,75.19980818867924,21.266345811320758,11.50796803773585,9.183063357142856
FM,0.11900175999880998,59.09226030188679,16.213365056603774,35.63836815094339,6.872141169811321
FO,0.09338731981038688,62.23040939622641,3.180618320754717,33.05215745283019,15.54993816981132
FR,0.31422101792138607,71.74437005660377,49.8670530754717,22.135041396226413,33.13926564150943
GA,0.28938826622352115,68.4615348490566,20.662014509433963,22.847729679245283,4.347664037735849
GB,0.21000995565827726,70.48456884905661,30.794659226415096,21.914372264150945,31.101076358490566
GD,0.10091262377257579,70.35090383018867,9.40152520754717,24.607817132075475,8.355509452830189
GE,0.09949244037636355,53.84946405660378,9.48282120754717,36.247154528301884,11.224076566037734
GF,0.09354410584812116,65.28336220754717,22.568057509433963,29.41943558490566,7.517822
GG,0.24783178075223866,65.98548552830188,4.775552396226415,25.253128811320757,27.522425528301888
GH,0.08712443131988346,69.51778754716982,2.0240597924528303,24.659055792452833,5.317602056603773
GI,0.9069042035758367,94.08818511320754,0.17391839622641508,2.8368635471698114,30.373793679245285
GL,0.15413725169657183,57.302840641509434,2.3582702264150943,26.783156113207546,6.62105620754717
GM,0.18023300207366938,77.6716260754717,0.44028333962264155,13.850508132075472,7.484394452830189
GN,0.21552933377142958,72.08238467924528,0.5788274150943395,15.679026320754716,3.7628028679245284
GP,0.07317825396153237,65.90102450943397,11.620461150943397,30.201307566037734,10.081560679245284
GQ,0.47425173074997445,70.33631435849057,0.32214773584905665,13.002180849056604,3.6139350188679247
GR,0.10481140867819716,58.21144439622641,47.27931415094339,37.026360641509434,17.140152811320753
GS,0.40324985020821863,73.26444673584905,81.55248837735849,0.6316589433962264,
GT,0.11040746377248084,72.9954419245283,46.82447839622641,22.40587405660377,9.66938579245283
GU,0.0848509662255666,59.72210998113207,5.490663528301887,35.4375841509434,9.697261528301889
GW,0.3179446213175753,72.75533850943395,1.742326924528302,12.61561037735849,4.853688283018868
GY,0.12526960358365294,69.25003254716981,24.855176679245282,25.210876226415092,6.807860584905661
HK,0.5582991360321529,80.38838335849057,3.68019741509434,9.670954113207546,54.029077716981135
HN,0.15479699565882937,69.76707639622641,16.025882566037733,24.21819850943396,10.807038471698114
HR,0.13645431396089958,61.99672650943396,4.850204113207547,28.577152226415095,18.52410345283019
HT,0.21114982433751112,66.67346556603773,8.990924886792452,19.51472903773585,6.406976924528301
HU,0.16145517490404585,68.96418356603773,45.00262073584906,26.86510113207547,27.284644981132075
ID,0.1860473724509697,67.81029490566038,16.216915981132075,25.33386275471698,11.972372679245282
IE,0.7005597326345039,70.31196471698114,10.22917720754717,8.191444226415095,30.72809213207547
IL,0.3221078282986657,69.60835388679246,39.18258041509434,23.111021867924528,31.78082137735849
IM,0.5425645126360839,49.9317788490566,8.56134658490566,13.558752698113206,24.0961310754717
IN,0.14924237867775286,66.8315946226415,64.84600326415095,27.011551094339623,10.425757283018866
IO,0.14252381499790173,49.99618690566037,32.99840650943396,14.607459943396227,
IQ,0.18745516754529526,70.74486986792452,2.4724056603773583,22.88748149056604,7.126531886792453
IR,0.765234061124423,92.70663039622642,3.1035104339622643,2.834406754716981,5.735299226415095
IS,0.18963529905470738,65.7418626226415,11.893344226415095,28.53366083018868,18.727698150943397
IT,0.14468464792308144,64.80867722641509,15.215552150943395,29.40237403773585,20.079818849056604
JE,0.11050360754606478,62.94515266037736,3.7972602641509434,29.205881924528303,33.208672188679245
JM,0.11664893264034293,71.7687908490566,17.06327262264151,22.910432811320753,10.948849698113207
JO,0.17641186377182075,59.5459061509434,17.53727637735849,32.35062183018868,8.942672849056603
JP,0.17428968867750239,72.61586620754717,41.32418045283019,22.486143018867924,33.54051069811321
KE,0.153985846036196,67.9700393018868,7.062548471698113,25.666538056603773,6.606334735849057
KG,0.161468172073857,55.518559792452834,4.458636094339623,33.925281226415095,5.609341433962264
KH,0.1460283269796718,61.460997584905655,0.6690685660377358,32.62444801886792,11.87584571698113
KI,0.22045344622421054,64.92990726415094,49.012942679245285,25.06563375471698,5.797534056603773
KM,0.28176475207265406,62.40060669811321,0.5326283962264151,24.989515150943397,4.407952962264151
KN,0.32542041395900995,65.27766452830188,2.6700095283018865,28.155279226415093,11.29462986792453
KP,0.7174199681060334,90.62121773584906,73.33846249056604,5.376895886792453,2.1527365
KR,0.21270002414881642,67.38222950943396,18.765932981132075,27.595226622641512,55.302547264150945
KW,0.0853292369802788,65.35399852830189,23.92874745283019,28.296085773584906,8.27623041509434
KY,0.09615798056507616,63.71239784905661,3.1072643773584905,29.57700833962264,17.961778226415095
KZ,0.1443660132061035,59.39216775471698,20.89431803773585,33.36038371698113,6.550708339622641
LA,0.0999518930178684,54.534364396226415,0.6615340377358491,40.35192273584906,9.527223075471698
