country,start,end,scope,cause,type
SEN,2025-07-01T03:00:00Z,2025-07-01T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-29T05:15:00Z,2025-06-29T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-29T03:30:00Z,2025-06-29T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
SEN,2025-06-29T03:00:00Z,2025-06-29T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-28T03:00:00Z,2025-06-28T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-25T03:30:00Z,2025-06-25T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
SEN,2025-06-25T03:00:00Z,2025-06-25T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-24T12:30:00Z,2025-06-24T14:00:00Z,Airtel Malawi,CABLE_CUT,NETWORK
SEN,2025-06-24T05:15:00Z,2025-06-24T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-23T03:00:00Z,2025-06-23T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-22T03:30:00Z,2025-06-22T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
SEN,2025-06-22T03:00:00Z,2025-06-22T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-21T05:15:00Z,2025-06-21T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-21T03:00:00Z,2025-06-21T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-19T21:45:00Z,2025-06-20T00:00:00Z,CenturyLink,TECHNICAL_PROBLEM,NETWORK
SEN,2025-06-19T03:00:00Z,2025-06-19T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-18T12:50:00Z,2025-06-25T05:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-18T03:00:00Z,2025-06-18T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-17T14:00:00Z,2025-06-17T15:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-17T14:00:00Z,2025-06-18T06:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-17T14:00:00Z,2025-06-17T15:30:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-17T14:00:00Z,2025-06-17T22:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-17T14:00:00Z,2025-06-17T20:00:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-17T03:00:00Z,2025-06-17T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-16T09:00:20Z,2025-06-16T21:00:00Z,SFR,TECHNICAL_PROBLEM,NETWORK
SEN,2025-06-16T03:00:00Z,2025-06-16T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-14T18:00:00Z,2025-06-15T14:00:00Z,Flow Curaçao,POWER_OUTAGE,NETWORK
SEN,2025-06-14T03:00:00Z,2025-06-14T04:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-13T07:15:00Z,2025-06-13T09:45:00Z,,GOVERNMENT_DIRECTED,NATIONWIDE
SEN,2025-06-11T03:30:00Z,2025-06-11T04:30:00Z,"IQ Online, KorekTel, NewRoz Telecom, KNET",GOVERNMENT_DIRECTED,REGIONAL
SEN,2025-06-10T08:15:00Z,2025-06-10T10:15:00Z,,UNKNOWN,NATIONWIDE
