date,iqi_latency_p25,iqi_latency_p50,iqi_latency_p75,country_alpha2,country,year,month
2025-06-09 00:00:00+00:00,33.495122,45.345805,61.091405,AL,ALB,2025,6
2025-06-16 00:00:00+00:00,33.232412,45.114404,60.207858,AL,ALB,2025,6
2025-06-23 00:00:00+00:00,33.300628,45.695996,61.729618,AL,ALB,2025,6
2025-06-30 00:00:00+00:00,34.772173,48.044725,65.029602,AL,ALB,2025,6
2025-07-07 00:00:00+00:00,33.720026,46.377477,64.260492,AL,ALB,2025,7
2025-07-14 00:00:00+00:00,33.684968,46.478904,63.787559,AL,ALB,2025,7
2025-07-21 00:00:00+00:00,34.108911,47.260398,65.118905,AL,ALB,2025,7
2025-07-28 00:00:00+00:00,32.008603,45.643716,63.093185,AL,ALB,2025,7
2025-08-04 00:00:00+00:00,31.406422,44.267121,61.427595,AL,ALB,2025,8
2025-08-11 00:00:00+00:00,31.921906,44.576876,62.046301,AL,ALB,2025,8
2025-08-18 00:00:00+00:00,31.202345,44.358663,61.77703,AL,ALB,2025,8
2025-08-25 00:00:00+00:00,32.86145,45.813438,63.315181,AL,ALB,2025,8
2025-09-01 00:00:00+00:00,32.354441,44.715174,60.530647,AL,ALB,2025,9
2025-09-08 00:00:00+00:00,31.612314,43.351382,59.540605,AL,ALB,2025,9
2025-09-15 00:00:00+00:00,30.51781,41.988749,57.601141,AL,ALB,2025,9
2025-09-22 00:00:00+00:00,31.09687,43.055092,60.372166,AL,ALB,2025,9
2025-09-29 00:00:00+00:00,32.543113,43.945822,58.703524,AL,ALB,2025,9
2025-10-06 00:00:00+00:00,31.798666,43.082711,58.736569,AL,ALB,2025,10
2025-10-13 00:00:00+00:00,30.362257,41.63692,56.756249,AL,ALB,2025,10
2025-10-20 00:00:00+00:00,31.796951,45.39492,61.755598,AL,ALB,2025,10
2025-10-27 00:00:00+00:00,29.900346,41.831763,56.626152,AL,ALB,2025,10
2025-11-03 00:00:00+00:00,29.959798,40.493683,55.501239,AL,ALB,2025,11
2025-11-10 00:00:00+00:00,30.333143,40.8926,55.338146,AL,ALB,2025,11
2025-11-17 00:00:00+00:00,28.653853,39.438132,53.761084,AL,ALB,2025,11
2025-11-24 00:00:00+00:00,28.589342,38.7356,53.5507,AL,ALB,2025,11
2025-12-01 00:00:00+00:00,28.411393,40.020768,54.633747,AL,ALB,2025,12
2025-12-08 00:00:00+00:00,28.900331,39.289554,55.397119,AL,ALB,2025,12
2024-12-09 00:00:00+00:00,47.186751,64.746854,90.400598,DZ,DZA,2024,12
2024-12-16 00:00:00+00:00,47.620554,65.24932,92.764118,DZ,DZA,2024,12
2024-12-23 00:00:00+00:00,46.300787,64.161681,92.052479,DZ,DZA,2024,12
2024-12-30 00:00:00+00:00,47.147989,65.150552,93.815616,DZ,DZA,2024,12
2025-01-06 00:00:00+00:00,47.088645,65.239712,93.507739,DZ,DZA,2025,1
2025-01-13 00:00:00+00:00,48.136955,65.762094,94.389517,DZ,DZA,2025,1
2025-01-20 00:00:00+00:00,48.465023,65.932465,93.059385,DZ,DZA,2025,1
2025-01-27 00:00:00+00:00,48.969099,66.640147,94.215204,DZ,DZA,2025,1
2025-02-03 00:00:00+00:00,47.150298,65.297395,93.389158,DZ,DZA,2025,2
2025-02-10 00:00:00+00:00,47.73349,66.441141,96.844956,DZ,DZA,2025,2
2025-02-17 00:00:00+00:00,46.761274,65.89595,95.778634,DZ,DZA,2025,2
2025-02-24 00:00:00+00:00,47.467559,68.040921,99.396167,DZ,DZA,2025,2
2025-03-03 00:00:00+00:00,47.277984,68.149235,98.778749,DZ,DZA,2025,3
2025-03-10 00:00:00+00:00,47.397247,66.79879,98.049111,DZ,DZA,2025,3
2025-03-17 00:00:00+00:00,45.722847,65.343794,93.575768,DZ,DZA,2025,3
2025-03-24 00:00:00+00:00,45.909579,65.86934,95.53299,DZ,DZA,2025,3
2025-03-31 00:00:00+00:00,47.732687,66.043105,94.302751,DZ,DZA,2025,3
2025-04-07 00:00:00+00:00,45.600208,63.451645,89.120107,DZ,DZA,2025,4
2025-04-14 00:00:00+00:00,44.398394,63.203251,89.730923,DZ,DZA,2025,4
2025-04-21 00:00:00+00:00,46.17657,64.455166,91.956273,DZ,DZA,2025,4
2025-04-28 00:00:00+00:00,44.507141,62.418204,87.819385,DZ,DZA,2025,4
2025-05-05 00:00:00+00:00,44.145644,61.86358,86.678583,DZ,DZA,2025,5
2025-05-12 00:00:00+00:00,43.840365,61.814855,86.14303,DZ,DZA,2025,5
2025-05-19 00:00:00+00:00,43.290821,62.15927,87.830205,DZ,DZA,2025,5
2025-05-26 00:00:00+00:00,41.309539,58.829495,81.318964,DZ,DZA,2025,5
2025-06-02 00:00:00+00:00,45.118041,61.836866,83.492227,DZ,DZA,2025,6
2025-06-09 00:00:00+00:00,45.884955,62.480046,85.11381,DZ,DZA,2025,6
2025-06-16 00:00:00+00:00,45.092297,62.263023,86.097684,DZ,DZA,2025,6
