country,tls13,ipv6,http3,iqi_p50,region,cluster,cluster_label,pc1,pc2
BF,65.92340854716981,11.844133792452832,19.877273905660378,5.45613679245283,Other,0,En transition,-0.13862047300467814,-0.9907360689947754
BG,67.2607463018868,15.243273603773584,27.16111432075472,23.5294360754717,EU-East,0,En transition,-0.019744450648889262,0.5371722092440436
BH,62.9815929245283,16.349623849056606,27.349064358490565,18.04584262264151,MENA,0,En transition,0.48318242333859235,0.3490518644856313
BI,66.43753916981133,5.724355056603774,19.02255958490566,3.8587066603773583,Other,0,En transition,-0.12071241704841039,-1.297121656516709
BJ,61.76559220754717,3.3965661509433964,29.390477188679245,4.220145056603774,Other,0,En transition,1.245801808196385,-0.8007151832416816
BL,64.25627396226415,58.41221403773584,31.59809373584905,10.31300751724138,Other,0,En transition,0.07091218911927145,0.937513402417903
BM,63.63443220754717,15.666850603773584,28.606737188679247,16.19307383018868,Other,0,En transition,0.5699108637604282,0.22483894724630804
BN,64.94095267924529,1.135253962264151,28.257018641509436,11.659422094339623,Other,0,En transition,0.7585367648625507,-0.4986786842791781
BO,66.19922249056603,36.54344109433963,28.26068733962264,8.708809075471697,LATAM,0,En transition,0.031674685903480486,0.11118777993302172
BQ,64.44248318867925,2.985199056603774,30.42011354716981,13.88405316981132,Other,0,En transition,0.9180787221090891,-0.20805156792657642
BR,61.77580569811321,46.54153020754717,30.91770071698113,20.235946396226417,LATAM,0,En transition,0.30667281915440225,1.3986090287354498
BS,61.21942815094339,25.858470943396224,25.206754735849056,20.198374943396225,Other,0,En transition,0.2611023500060094,0.7175934065637792
BT,62.597179547169816,25.78804296226415,31.65300147169811,6.605127433962264,Other,0,En transition,0.9021608501950503,-0.04603223595841281
BW,63.26608950943396,4.696184018867925,33.29650718867925,9.98651116981132,Other,0,En transition,1.3092513790959364,-0.2923984063199959
BY,72.07433618867924,5.664204849056604,18.60958756603773,15.993325132075473,EU-East,1,En transition,-0.9056379131616556,-0.6835193600893016
BZ,60.65648062264151,26.780237433962263,23.085872283018865,14.776596,Other,0,En transition,0.21066408752289284,0.31439952163498563
CA,67.65428726415094,30.73140909433962,25.17143130188679,30.410980943396225,,0,En transition,-0.6282318039168749,1.3026777514401366
CC,87.28435541509434,78.5706117735849,0.8984725849056604,,Other,1,En transition,-5.125382711519671,-0.4938848843784882
CD,71.09609130188679,4.540064471698113,17.59877620754717,5.283427641509434,Other,1,En transition,-0.6951711150604479,-1.4464144881427055
CF,63.68438664150944,6.892963132075471,23.44528273584906,3.7944631132075473,Other,0,En transition,0.49968826673794936,-1.0203478659572403
CG,62.59285683018868,22.554963603773583,24.843180641509434,4.685711603773585,Other,0,En transition,0.41915661920476266,-0.4914444664473346
CH,68.36293611320755,27.130489641509435,25.07657769811321,34.33335777358491,EU-West,1,En transition,-0.704420057927956,1.4560074561738392
CI,66.6198700754717,17.60408558490566,23.57114932075472,4.812275264150943,Africa,0,En transition,0.010291513722413876,-0.7930895374902547
CK,63.23888130188679,31.660780924528304,31.58265920754717,7.43208311764706,Other,0,En transition,0.7114447154851146,0.12742365965593816
CL,64.51779194339623,18.226117943396225,29.227235792452827,30.90886666037736,LATAM,0,En transition,0.24173821686346478,1.2878882387523602
CM,59.22150379245283,3.1149524528301886,31.63698249056604,3.275741301886793,Africa,0,En transition,1.7036259091813424,-0.7023813789110327
CN,69.45603556603773,30.949989603773584,17.86248437735849,4.67602379245283,APAC-Em,1,En transition,-0.9918442470320865,-0.779239947560048
CO,65.75993541509435,16.838217660377357,28.72716201886793,15.810939547169813,LATAM,0,En transition,0.35859940823927094,0.15385632494345372
CR,66.19791532075472,14.337689226415094,27.86826243396226,10.794748264150943,LATAM,0,En transition,0.3741371039506602,-0.2972057037291077
CU,63.94734113207547,0.1263134339622641,23.643499,3.988933264150944,Other,0,En transition,0.6127683417446663,-1.1737205783647038
CV,65.06532705660376,3.363953716981132,28.83571703773585,7.283493283018868,Other,0,En transition,0.8277812107099429,-0.7300215485985069
CW,63.18225479245283,7.092820207547169,27.871918075471697,10.682037735849056,Other,0,En transition,0.8029411504807855,-0.3708253710482135
CX,82.03642262264151,98.1132075471698,0.0,,Other,1,En transition,-5.053403151903613,0.13958417833442485
CY,63.66673716981132,16.98075975471698,28.82895883018868,16.035380056603774,EU-West,0,En transition,0.5639141806415114,0.2523503474692127
CZ,65.85414618867925,26.8319489245283,28.71905175471698,23.971021452830183,EU-East,0,En transition,0.026705048923839573,0.9534023410299901
DE,74.29288905660377,34.73405539622642,17.027537622641507,26.53304516981132,EU-West,1,En transition,-1.9694479464739585,0.6104527809766539
DJ,63.21801796226415,2.6671270943396226,27.59474158490566,4.9247978490566044,Other,0,En transition,0.9547348482770616,-0.8847847038389095
DK,63.56024550943397,20.8880931509434,32.103877905660376,33.33625743396227,EU-West,0,En transition,0.48770469503103936,1.653476509082959
DM,65.05146737735849,30.530707735849056,30.107542924528303,8.385688037735848,Other,0,En transition,0.41574296220535845,0.048740344915833976
DO,66.76907705660376,30.07802124528302,27.38171041509434,10.409626981132076,Other,0,En transition,-0.006971483009763079,0.020309017826950757
DZ,60.12780547169811,0.4885428301886792,29.525996962264152,9.546320773584906,Africa,0,En transition,1.3803514575938007,-0.4408240037547645
EC,72.35703032075472,23.09512730188679,21.223039264150945,16.221981716981134,LATAM,1,En transition,-1.0383589086596068,-0.16525335613049758
EE,63.76707032075472,32.232207018867925,30.005025094339626,29.464162547169813,EU-East,0,En transition,0.14564624095419415,1.5822473851720398
EG,61.06509471698113,4.418201660377359,30.68637532075472,8.103538735849057,MENA,0,En transition,1.3390719249993523,-0.4387422500204244
EH,69.11207209433962,69.36190309433962,2.5015194339622644,7.41102025,Other,1,En transition,-3.0128757010340577,-0.17819694963538874
ER,74.06178167924529,57.276043811320754,8.550965452830189,8.510521,Other,1,En transition,-2.776983721723166,-0.3665411671700072
ES,71.51057967924528,10.898057679245282,23.78213932075472,29.16878813207547,EU-West,1,En transition,-0.7322310749748829,0.5483219273658387
ET,66.77500262264151,0.4422592452830188,23.087521,4.27855141509434,Africa,0,En transition,0.2806730144035628,-1.2681482816197966
FI,78.31993350943397,32.16694303773585,14.104020320754715,22.901895000000003,EU-West,1,En transition,-2.4987420113595005,0.05120543265343486
FJ,65.57055290566038,23.13674996226415,30.138808641509435,6.848848433962265,Other,0,En transition,0.530584675377453,-0.2539418362506112
